"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"März 2022","12.257,86","11.962,70","12.388,97","10.872,65","55,82M","2,26%"
"Feb. 2022","11.986,78","12.338,54","12.422,95","11.480,76","1,06B","-1,96%"
"Jan. 2022","12.226,70","12.934,42","12.997,15","11.867,78","918,37M","-5,04%"
"Dez. 2021","12.875,66","12.207,76","12.980,14","12.093,37","743,35M","5,89%"
"Nov. 2021","12.159,69","12.174,92","12.625,81","12.071,67","898,16M","0,43%"
"Okt. 2021","12.108,17","11.491,08","12.153,10","11.381,74","714,40M","4,00%"
"Sep. 2021","11.642,45","12.472,04","12.491,18","11.465,59","882,50M","-6,19%"
"Aug. 2021","12.411,11","12.165,21","12.573,43","12.124,36","665,34M","2,43%"
"Jul. 2021","12.116,82","11.993,98","12.146,68","11.799,23","767,21M","1,46%"
"Jun. 2021","11.942,72","11.415,20","12.072,11","11.389,88","906,75M","5,10%"
"Mai 2021","11.363,45","11.072,54","11.443,97","10.932,85","848,37M","3,09%"
"Apr. 2021","11.022,34","11.102,29","11.266,78","11.022,34","1,14B","-0,23%"
"März 2021","11.047,37","10.659,26","11.143,86","10.606,08","1,40B","4,99%"
"Feb. 2021","10.522,22","10.666,16","10.953,42","10.513,43","929,63M","-0,65%"
"Jan. 2021","10.591,06","10.805,93","11.014,28","10.591,06","1,16B","-1,05%"
"Dez. 2020","10.703,51","10.473,33","10.749,68","10.237,94","1,11B","2,17%"
"Nov. 2020","10.476,43","9.595,66","10.644,22","9.556,93","1,52B","9,28%"
"Okt. 2020","9.587,15","10.256,95","10.407,01","9.494,52","1,25B","-5,89%"
"Sep. 2020","10.187,00","10.228,97","10.591,66","10.091,98","1,36B","0,51%"
"Aug. 2020","10.135,56","10.013,36","10.356,75","9.999,55","903,60M","1,30%"
"Jul. 2020","10.005,90","10.027,45","10.535,33","9.984,99","1,27B","-0,39%"
"Jun. 2020","10.045,30","9.874,84","10.291,46","9.633,20","1,75B","2,17%"
"Mai 2020","9.831,49","9.618,93","9.966,05","9.389,66","1,48B","2,10%"
"Apr. 2020","9.629,40","9.311,92","9.948,84","9.036,73","1,72B","3,41%"